,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,REMOTE,POST_SATISFACTION_QUESTION_1,0.2613333333333333,0.6386666666666667,0.2613333333333333,1.0,1.5657620041753653,0.09442844444444443,inf,0.4891696750902526
1,"EMPLOYEE_LEVEL_JUNIOR, REMOTE",POST_SATISFACTION_QUESTION_1,0.20933333333333334,0.6386666666666667,0.20933333333333334,1.0,1.5657620041753653,0.0756391111111111,inf,0.45699831365935917
2,"PRE_ABSENTEEISM_DAYS_MONTH, REMOTE",POST_SATISFACTION_QUESTION_1,0.204,0.6386666666666667,0.204,1.0,1.5657620041753653,0.07371199999999997,inf,0.45393634840871006
3,"CHANGE_COMMITMENT_1, REMOTE",POST_SATISFACTION_QUESTION_1,0.20466666666666666,0.6386666666666667,0.20466666666666666,1.0,1.5657620041753653,0.07395288888888887,inf,0.45431684828164287
4,"POST_SATISFACTION_QUESTION_1, REMOTE",EMPLOYEE_LEVEL_JUNIOR,0.2613333333333333,0.7973333333333333,0.20933333333333334,0.8010204081632655,1.004624257729848,0.0009635555555555786,1.0185299145299154,0.006231460829175342
5,REMOTE,"EMPLOYEE_LEVEL_JUNIOR, POST_SATISFACTION_QUESTION_1",0.2613333333333333,0.49133333333333334,0.20933333333333334,0.8010204081632655,1.6302993381884643,0.08093155555555559,2.5563760683760703,0.5233967210099107
6,REMOTE,EMPLOYEE_LEVEL_JUNIOR,0.2613333333333333,0.7973333333333333,0.20933333333333334,0.8010204081632655,1.004624257729848,0.0009635555555555786,1.0185299145299154,0.006231460829175342
7,REMOTE,CHANGE_COMMITMENT_1,0.2613333333333333,0.7546666666666667,0.20466666666666666,0.7831632653061226,1.03776051056465,0.0074471111111111266,1.1314196078431378,0.049259751408177524
8,"POST_SATISFACTION_QUESTION_1, REMOTE",CHANGE_COMMITMENT_1,0.2613333333333333,0.7546666666666667,0.20466666666666666,0.7831632653061226,1.03776051056465,0.0074471111111111266,1.1314196078431378,0.049259751408177524
9,REMOTE,"CHANGE_COMMITMENT_1, POST_SATISFACTION_QUESTION_1",0.2613333333333333,0.4633333333333333,0.20466666666666666,0.7831632653061226,1.6902804287182502,0.08358222222222224,2.474980392156864,0.5528639800562096
10,REMOTE,"PRE_ABSENTEEISM_DAYS_MONTH, POST_SATISFACTION_QUESTION_1",0.2613333333333333,0.47733333333333333,0.204,0.7806122448979592,1.6353608482499147,0.07925688888888889,2.3823875968992247,0.5259668247563767
11,"POST_SATISFACTION_QUESTION_1, REMOTE",PRE_ABSENTEEISM_DAYS_MONTH,0.2613333333333333,0.7246666666666667,0.204,0.7806122448979592,1.0772018098867882,0.014620444444444436,1.2550077519379845,0.09702461008470772
12,REMOTE,PRE_ABSENTEEISM_DAYS_MONTH,0.2613333333333333,0.7246666666666667,0.204,0.7806122448979592,1.0772018098867882,0.014620444444444436,1.2550077519379845,0.09702461008470772
13,"CHANGE_COMMITMENT_1, POST_SATISFACTION_QUESTION_1",REMOTE,0.4633333333333333,0.2613333333333333,0.20466666666666666,0.441726618705036,1.6902804287182502,0.08358222222222224,1.323127147766323,0.7609606085742612
14,"PRE_ABSENTEEISM_DAYS_MONTH, POST_SATISFACTION_QUESTION_1",REMOTE,0.47733333333333333,0.2613333333333333,0.204,0.4273743016759776,1.6353608482499145,0.07925688888888889,1.2899642276422765,0.7433306655995733
15,"EMPLOYEE_LEVEL_JUNIOR, POST_SATISFACTION_QUESTION_1",REMOTE,0.49133333333333334,0.2613333333333333,0.20933333333333334,0.4260515603799186,1.630299338188464,0.08093155555555559,1.2869913317572894,0.7600570994482061
16,POST_SATISFACTION_QUESTION_1,REMOTE,0.6386666666666667,0.2613333333333333,0.2613333333333333,0.40918580375782876,1.5657620041753653,0.09442844444444443,1.2502520612485277,1.0
17,POST_SATISFACTION_QUESTION_1,"EMPLOYEE_LEVEL_JUNIOR, REMOTE",0.6386666666666667,0.20933333333333334,0.20933333333333334,0.3277661795407098,1.5657620041753653,0.0756391111111111,1.1761780538302278,1.0
18,POST_SATISFACTION_QUESTION_1,"CHANGE_COMMITMENT_1, REMOTE",0.6386666666666667,0.20466666666666666,0.20466666666666666,0.32045929018789143,1.5657620041753653,0.07395288888888887,1.1703983614951357,1.0
19,POST_SATISFACTION_QUESTION_1,"PRE_ABSENTEEISM_DAYS_MONTH, REMOTE",0.6386666666666667,0.204,0.204,0.3194154488517745,1.5657620041753653,0.07371199999999997,1.1695828220858895,0.9999999999999998
20,PRE_ABSENTEEISM_DAYS_MONTH,REMOTE,0.7246666666666667,0.2613333333333333,0.204,0.28150873965041395,1.0772018098867882,0.014620444444444436,1.0280802390098165,0.26029846967035386
21,PRE_ABSENTEEISM_DAYS_MONTH,"POST_SATISFACTION_QUESTION_1, REMOTE",0.7246666666666667,0.2613333333333333,0.204,0.28150873965041395,1.0772018098867882,0.014620444444444436,1.0280802390098165,0.26029846967035386
22,CHANGE_COMMITMENT_1,"POST_SATISFACTION_QUESTION_1, REMOTE",0.7546666666666667,0.2613333333333333,0.20466666666666666,0.2712014134275618,1.03776051056465,0.0074471111111111266,1.013540202020202,0.1483146863050563
23,CHANGE_COMMITMENT_1,REMOTE,0.7546666666666667,0.2613333333333333,0.20466666666666666,0.2712014134275618,1.03776051056465,0.0074471111111111266,1.013540202020202,0.1483146863050563
24,EMPLOYEE_LEVEL_JUNIOR,"POST_SATISFACTION_QUESTION_1, REMOTE",0.7973333333333333,0.2613333333333333,0.20933333333333334,0.2625418060200669,1.0046242577298479,0.0009635555555555786,1.0016386999244142,0.022712034864231186
25,EMPLOYEE_LEVEL_JUNIOR,REMOTE,0.7973333333333333,0.2613333333333333,0.20933333333333334,0.2625418060200669,1.0046242577298479,0.0009635555555555786,1.0016386999244142,0.022712034864231186
